booster,colsample_bytree,eta,eval_metric,improve10,improve15,improve5,lamda,learning_rate,max_depth,objective,scale_pos_weight,seed,value-mean10,value-mean15,value-mean5
gbtree,0.7,0.001,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.2,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.001,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.4,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.001,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.6,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.001,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.8,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.001,auc,-1.04344366435,-0.862312803089,-2.07865840843,1,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.001,auc,0.191754632692,0.281895641506,1.59157474547,0.2,0.1,4,binary:logistic,18.92543859649123,1,8.427,8.83866666667,9.252
gbtree,0.7,0.001,auc,0.191754632692,0.281895641506,1.59157474547,0.4,0.1,4,binary:logistic,18.92543859649123,1,8.427,8.83866666667,9.252
gbtree,0.7,0.001,auc,0.191754632692,0.281895641506,1.59157474547,0.6,0.1,4,binary:logistic,18.92543859649123,1,8.427,8.83866666667,9.252
gbtree,0.7,0.001,auc,0.191754632692,0.281895641506,1.59157474547,0.8,0.1,4,binary:logistic,18.92543859649123,1,8.427,8.83866666667,9.252
gbtree,0.7,0.001,auc,0.191754632692,0.281895641506,1.59157474547,1,0.1,4,binary:logistic,18.92543859649123,1,8.427,8.83866666667,9.252
gbtree,0.7,0.01,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.2,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.01,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.4,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.01,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.6,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.01,auc,-1.04344366435,-0.862312803089,-2.07865840843,0.8,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.01,auc,-1.04344366435,-0.862312803089,-2.07865840843,1,0.05,4,binary:logistic,18.92543859649123,1,8.114,7.69266666667,7.502
gbtree,0.7,0.01,auc,0.191754632692,0.281895641506,1.59157474547,0.2,0.1,4,binary:logistic,18.92543859649123,1,8.427,8.83866666667,9.252
gbtree,0.7,0.01,auc,0.191754632692,0.281895641506,1.59157474547,0.4,0.1,4,binary:logistic,18.92543859649123,1,8.427,8.83866666667,9.252
